"Population by disability type","Number"
"Blind/low vision",""
"Female","107"
"Male","109"
"","216"
"Deaf/hard of hearing",""
"Female","107"
"Male","127"
"","234"
"Deaf-Blind",""
"Female","14"
"Male","9"
"","23"
"Intellectual disable",""
"Female","68"
"Male","83"
"","151"
"Mental disable",""
"Female","40"
"Male","38"
"","78"
"Multiple disable",""
"Female","57"
"Male","65"
"","122"
"No disability",""
"Female","45630"
"Male","40409"
"","86039"
"Physical",""
"Female","211"
"Male","269"
"","480"
"Speech problem",""
"Female","102"
"Male","112"
"","214"
