"Population by disability type","Number"
"Blind/low vision",""
"Female","60"
"Male","54"
"","114"
"Deaf/hard of hearing",""
"Female","69"
"Male","77"
"","146"
"Deaf-Blind",""
"Female","11"
"Male","4"
"","15"
"Intellectual disable",""
"Female","14"
"Male","13"
"","27"
"Mental disable",""
"Female","19"
"Male","20"
"","39"
"Multiple disable",""
"Female","27"
"Male","26"
"","53"
"No disability",""
"Female","12789"
"Male","10154"
"","22943"
"Physical",""
"Female","103"
"Male","130"
"","233"
"Speech problem",""
"Female","35"
"Male","26"
"","61"
