"Population by Educational Attainment","Number"
"Beginners",""
"Female","756"
"Male","1014"
"Graduate and Equivalent",""
"Female","65"
"Male","181"
"Intermediate and Equivalent",""
"Female","386"
"Male","620"
"Level not Stated",""
"Female","58"
"Male","62"
"Lower Secondary (Class 6-8)",""
"Female","3769"
"Male","4055"
"Non Formal Education",""
"Female","448"
"Male","418"
"Others",""
"Female","9"
"Male","9"
"Post Graduate Equivalent and Above",""
"Female","9"
"Male","58"
"Primary Education (1-5 Class)",""
"Female","7704"
"Male","8263"
"Secondary Level (Class 9-10)",""
"Female","1428"
"Male","1652"
"SLC and Equivalent",""
"Female","1207"
"Male","1309"
