"Population by disability type","Number"
"Blind/low vision",""
"Female","87"
"Male","53"
"","140"
"Deaf/hard of hearing",""
"Female","94"
"Male","91"
"","185"
"Deaf-Blind",""
"Female","7"
"Male","3"
"","10"
"Intellectual disable",""
"Female","7"
"Male","7"
"","14"
"Mental disable",""
"Female","10"
"Male","9"
"","19"
"Multiple disable",""
"Female","22"
"Male","23"
"","45"
"No disability",""
"Female","11331"
"Male","9592"
"","20923"
"Physical",""
"Female","128"
"Male","170"
"","298"
"Speech problem",""
"Female","16"
"Male","27"
"","43"
