"Population by disability type","Number"
"Blind/low vision",""
"Female","59"
"Male","70"
"","129"
"Deaf/hard of hearing",""
"Female","52"
"Male","53"
"","105"
"Deaf-Blind",""
"Female","1"
"Male","6"
"","7"
"Intellectual disable",""
"Female","12"
"Male","20"
"","32"
"Mental disable",""
"Female","38"
"Male","41"
"","79"
"Multiple disable",""
"Female","40"
"Male","36"
"","76"
"No disability",""
"Female","28276"
"Male","22071"
"","50347"
"Physical",""
"Female","137"
"Male","213"
"","350"
"Speech problem",""
"Female","48"
"Male","70"
"","118"
