"Population by Educational Attainment","Number"
"Beginners",""
"Female","370"
"Male","415"
"Graduate and Equivalent",""
"Female","36"
"Male","157"
"Intermediate and Equivalent",""
"Female","148"
"Male","437"
"Level not Stated",""
"Female","22"
"Male","26"
"Lower Secondary (Class 6-8)",""
"Female","1471"
"Male","2136"
"Non Formal Education",""
"Female","49"
"Male","50"
"Others",""
"Female","1"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","40"
"Primary Education (1-5 Class)",""
"Female","3781"
"Male","4985"
"Secondary Level (Class 9-10)",""
"Female","707"
"Male","1187"
"SLC and Equivalent",""
"Female","570"
"Male","942"
