"Population by disability type","Number"
"Blind/low vision",""
"Female","58"
"Male","66"
"","124"
"Deaf/hard of hearing",""
"Female","45"
"Male","67"
"","112"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","3"
"Male","5"
"","8"
"Mental disable",""
"Female","14"
"Male","18"
"","32"
"Multiple disable",""
"Female","16"
"Male","19"
"","35"
"No disability",""
"Female","18397"
"Male","17019"
"","35416"
"Physical",""
"Female","110"
"Male","145"
"","255"
"Speech problem",""
"Female","22"
"Male","40"
"","62"
