"Population by Educational Attainment","Number"
"Beginners",""
"Female","494"
"Male","566"
"","1060"
"Graduate and Equivalent",""
"Female","12"
"Male","66"
"","78"
"Intermediate and Equivalent",""
"Female","169"
"Male","359"
"","528"
"Level not Stated",""
"Female","63"
"Male","88"
"","151"
"Lower Secondary (Class 6-8)",""
"Female","1545"
"Male","2223"
"","3768"
"Non Formal Education",""
"Female","439"
"Male","394"
"","833"
"Others",""
"Female","3"
"Male","10"
"","13"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","10"
"","11"
"Primary Education (1-5 Class)",""
"Female","4720"
"Male","5477"
"","10197"
"Secondary Level (Class 9-10)",""
"Female","647"
"Male","1124"
"","1771"
"SLC and Equivalent",""
"Female","142"
"Male","319"
"","461"
