"Population by Caste Ethinicity","Number"
"Badi",""
"Female","58"
"Male","57"
"","115"
"Brahman - Hill",""
"Female","1527"
"Male","1225"
"","2752"
"Chhetri",""
"Female","2626"
"Male","2182"
"","4808"
"Damai/Dholi",""
"Female","370"
"Male","328"
"","698"
"Gurung",""
"Female","47"
"Male","42"
"","89"
"Kami",""
"Female","739"
"Male","716"
"","1455"
"Kathabaniyan",""
"Female","6"
"Male","5"
"","11"
"Kumal",""
"Female","7"
"Male","12"
"","19"
"Lohar",""
"Female","113"
"Male","90"
"","203"
"Magar",""
"Female","144"
"Male","130"
"","274"
"Musalman",""
"Female","18"
"Male","25"
"","43"
"Newar",""
"Female","83"
"Male","79"
"","162"
"Others",""
"Female","14"
"Male","8"
"","22"
"Sanyasi/Dasnami",""
"Female","70"
"Male","66"
"","136"
"Sarki",""
"Female","35"
"Male","30"
"","65"
"Terai Others",""
"Female","20"
"Male","13"
"","33"
"Thakuri",""
"Female","836"
"Male","693"
"","1529"
"Tharu",""
"Female","11724"
"Male","10733"
"","22457"
