"Population by Educational Attainment","Number"
"Beginners",""
"Female","547"
"Male","619"
"","1166"
"Graduate and Equivalent",""
"Female","37"
"Male","102"
"","139"
"Intermediate and Equivalent",""
"Female","256"
"Male","407"
"","663"
"Level not Stated",""
"Female","3"
"Male","7"
"","10"
"Lower Secondary (Class 6-8)",""
"Female","2528"
"Male","2764"
"","5292"
"Non Formal Education",""
"Female","710"
"Male","378"
"","1088"
"Others",""
"Female","3"
"Male","7"
"","10"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","29"
"","35"
"Primary Education (1-5 Class)",""
"Female","4272"
"Male","4836"
"","9108"
"Secondary Level (Class 9-10)",""
"Female","941"
"Male","1296"
"","2237"
"SLC and Equivalent",""
"Female","787"
"Male","950"
"","1737"
