"Population by Educational Attainment","Number"
"Beginners",""
"Female","227"
"Male","228"
"Graduate and Equivalent",""
"Female","43"
"Male","89"
"Intermediate and Equivalent",""
"Female","250"
"Male","260"
"Level not Stated",""
"Female","13"
"Male","18"
"Lower Secondary (Class 6-8)",""
"Female","2407"
"Male","1979"
"Non Formal Education",""
"Female","902"
"Male","855"
"Others",""
"Female","7"
"Male","5"
"Post Graduate Equivalent and Above",""
"Female","11"
"Male","28"
"Primary Education (1-5 Class)",""
"Female","3996"
"Male","3648"
"Secondary Level (Class 9-10)",""
"Female","736"
"Male","779"
"SLC and Equivalent",""
"Female","640"
"Male","701"
