"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","58"
"Male","48"
"Brahman - Hill",""
"Female","1979"
"Male","1640"
"Brahmu/ Baramo",""
"Female","38"
"Male","26"
"Chepang /Praja",""
"Female","230"
"Male","197"
"Chhetri",""
"Female","1019"
"Male","846"
"Damai/Dholi",""
"Female","530"
"Male","414"
"Darai",""
"Female","72"
"Male","64"
"Gharti/Bhujel",""
"Female","46"
"Male","42"
"Gurung",""
"Female","1465"
"Male","1097"
"Kami",""
"Female","573"
"Male","442"
"Kumal",""
"Female","8"
"Male","16"
"Magar",""
"Female","5686"
"Male","4437"
"Majhi",""
"Female","48"
"Male","39"
"Mallaha",""
"Female","5"
"Male","7"
"Musalman",""
"Female","28"
"Male","26"
"Newar",""
"Female","2569"
"Male","1840"
"Others",""
"Female","39"
"Male","35"
"Sanyasi/Dasnami",""
"Female","47"
"Male","52"
"Sarki",""
"Female","1031"
"Male","760"
"Tamang",""
"Female","6"
"Male","9"
"Teli",""
"Female","0"
"Male","13"
"Terai Others",""
"Female","8"
"Male","8"
"Undefined Others",""
"Female","5"
"Male","7"
