"Population by disability type","Number"
"Blind/low vision",""
"Female","44"
"Male","43"
"","87"
"Deaf/hard of hearing",""
"Female","48"
"Male","51"
"","99"
"Deaf-Blind",""
"Female","2"
"Male","5"
"","7"
"Intellectual disable",""
"Female","6"
"Male","14"
"","20"
"Mental disable",""
"Female","13"
"Male","20"
"","33"
"Multiple disable",""
"Female","28"
"Male","34"
"","62"
"No disability",""
"Female","18734"
"Male","17016"
"","35750"
"Physical",""
"Female","112"
"Male","139"
"","251"
"Speech problem",""
"Female","42"
"Male","54"
"","96"
