"Population by disability type","Number"
"Blind/low vision",""
"Female","64"
"Male","72"
"","136"
"Deaf/hard of hearing",""
"Female","80"
"Male","71"
"","151"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","6"
"Male","9"
"","15"
"Mental disable",""
"Female","7"
"Male","18"
"","25"
"Multiple disable",""
"Female","36"
"Male","23"
"","59"
"No disability",""
"Female","12693"
"Male","11497"
"","24190"
"Physical",""
"Female","131"
"Male","191"
"","322"
"Speech problem",""
"Female","25"
"Male","43"
"","68"
