"Population by Educational Attainment","Number"
"Beginners",""
"Female","145"
"Male","181"
"Graduate and Equivalent",""
"Female","124"
"Male","403"
"Intermediate and Equivalent",""
"Female","391"
"Male","796"
"Level not Stated",""
"Female","82"
"Male","84"
"Lower Secondary (Class 6-8)",""
"Female","1949"
"Male","2688"
"Non Formal Education",""
"Female","45"
"Male","67"
"Others",""
"Female","8"
"Male","11"
"Post Graduate Equivalent and Above",""
"Female","11"
"Male","128"
"Primary Education (1-5 Class)",""
"Female","4761"
"Male","5620"
"Secondary Level (Class 9-10)",""
"Female","888"
"Male","1629"
"SLC and Equivalent",""
"Female","863"
"Male","1564"
