"Population by Educational Attainment","Number"
"Beginners",""
"Female","120"
"Male","153"
"","273"
"Graduate and Equivalent",""
"Female","19"
"Male","143"
"","162"
"Intermediate and Equivalent",""
"Female","77"
"Male","419"
"","496"
"Level not Stated",""
"Female","9"
"Male","17"
"","26"
"Lower Secondary (Class 6-8)",""
"Female","823"
"Male","1643"
"","2466"
"Non Formal Education",""
"Female","40"
"Male","83"
"","123"
"Others",""
"Female","8"
"Male","7"
"","15"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","32"
"","37"
"Primary Education (1-5 Class)",""
"Female","2220"
"Male","3043"
"","5263"
"Secondary Level (Class 9-10)",""
"Female","256"
"Male","845"
"","1101"
"SLC and Equivalent",""
"Female","182"
"Male","634"
"","816"
