"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","27"
"","49"
"Deaf/hard of hearing",""
"Female","12"
"Male","16"
"","28"
"Deaf-Blind",""
"Female","2"
"Male","3"
"","5"
"Intellectual disable",""
"Female","2"
"Male","3"
"","5"
"Mental disable",""
"Female","5"
"Male","14"
"","19"
"Multiple disable",""
"Female","4"
"Male","14"
"","18"
"No disability",""
"Female","11755"
"Male","12497"
"","24252"
"Physical",""
"Female","26"
"Male","53"
"","79"
"Speech problem",""
"Female","4"
"Male","9"
"","13"
