"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","23"
"","45"
"Deaf/hard of hearing",""
"Female","30"
"Male","33"
"","63"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","2"
"Male","9"
"","11"
"Mental disable",""
"Female","16"
"Male","14"
"","30"
"Multiple disable",""
"Female","14"
"Male","11"
"","25"
"No disability",""
"Female","11084"
"Male","9250"
"","20334"
"Physical",""
"Female","46"
"Male","105"
"","151"
"Speech problem",""
"Female","49"
"Male","58"
"","107"
