"Population by disability type","Number"
"Blind/low vision",""
"Female","80"
"Male","112"
"","192"
"Deaf/hard of hearing",""
"Female","107"
"Male","99"
"","206"
"Deaf-Blind",""
"Female","13"
"Male","16"
"","29"
"Intellectual disable",""
"Female","19"
"Male","23"
"","42"
"Mental disable",""
"Female","22"
"Male","33"
"","55"
"Multiple disable",""
"Female","30"
"Male","35"
"","65"
"No disability",""
"Female","36059"
"Male","33520"
"","69579"
"Physical",""
"Female","157"
"Male","201"
"","358"
"Speech problem",""
"Female","48"
"Male","73"
"","121"
