"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","60"
"","110"
"Deaf/hard of hearing",""
"Female","48"
"Male","39"
"","87"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","0"
"Male","4"
"","4"
"Mental disable",""
"Female","10"
"Male","15"
"","25"
"Multiple disable",""
"Female","6"
"Male","8"
"","14"
"No disability",""
"Female","14006"
"Male","13961"
"","27967"
"Physical",""
"Female","47"
"Male","85"
"","132"
"Speech problem",""
"Female","21"
"Male","26"
"","47"
