"Population by disability type","Number"
"Blind/low vision",""
"Female","137"
"Male","100"
"","237"
"Deaf/hard of hearing",""
"Female","59"
"Male","71"
"","130"
"Deaf-Blind",""
"Female","10"
"Male","8"
"","18"
"Intellectual disable",""
"Female","4"
"Male","12"
"","16"
"Mental disable",""
"Female","14"
"Male","27"
"","41"
"Multiple disable",""
"Female","38"
"Male","35"
"","73"
"No disability",""
"Female","17821"
"Male","15011"
"","32832"
"Physical",""
"Female","193"
"Male","191"
"","384"
"Speech problem",""
"Female","28"
"Male","29"
"","57"
