"Population by disability type","Number"
"Blind/low vision",""
"Female","36"
"Male","40"
"","76"
"Deaf/hard of hearing",""
"Female","9"
"Male","19"
"","28"
"Deaf-Blind",""
"Female","2"
"Male","5"
"","7"
"Intellectual disable",""
"Female","5"
"Male","13"
"","18"
"Mental disable",""
"Female","16"
"Male","32"
"","48"
"Multiple disable",""
"Female","13"
"Male","10"
"","23"
"No disability",""
"Female","22817"
"Male","22449"
"","45266"
"Physical",""
"Female","89"
"Male","116"
"","205"
"Speech problem",""
"Female","22"
"Male","41"
"","63"
