"Population by disability type","Number"
"Blind/low vision",""
"Female","50"
"Male","60"
"","110"
"Deaf/hard of hearing",""
"Female","53"
"Male","49"
"","102"
"Deaf-Blind",""
"Female","5"
"Male","3"
"","8"
"Intellectual disable",""
"Female","8"
"Male","13"
"","21"
"Mental disable",""
"Female","19"
"Male","26"
"","45"
"Multiple disable",""
"Female","25"
"Male","32"
"","57"
"No disability",""
"Female","24890"
"Male","20838"
"","45728"
"Physical",""
"Female","125"
"Male","193"
"","318"
"Speech problem",""
"Female","50"
"Male","58"
"","108"
