"Population by Educational Attainment","Number"
"Beginners",""
"Female","11"
"Male","7"
"Graduate and Equivalent",""
"Female","0"
"Male","5"
"Intermediate and Equivalent",""
"Female","4"
"Male","5"
"Level not Stated",""
"Female","1"
"Male","1"
"Lower Secondary (Class 6-8)",""
"Female","21"
"Male","51"
"Non Formal Education",""
"Female","37"
"Male","20"
"Others",""
"Female","1"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","0"
"Primary Education (1-5 Class)",""
"Female","171"
"Male","204"
"Secondary Level (Class 9-10)",""
"Female","6"
"Male","16"
"SLC and Equivalent",""
"Female","8"
"Male","25"
