"Population by Educational Attainment","Number"
"Beginners",""
"Female","122"
"Male","113"
"","235"
"Graduate and Equivalent",""
"Female","14"
"Male","67"
"","81"
"Intermediate and Equivalent",""
"Female","133"
"Male","197"
"","330"
"Level not Stated",""
"Female","18"
"Male","18"
"","36"
"Lower Secondary (Class 6-8)",""
"Female","785"
"Male","878"
"","1663"
"Non Formal Education",""
"Female","310"
"Male","481"
"","791"
"Others",""
"Female","2"
"Male","22"
"","24"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","36"
"","42"
"Primary Education (1-5 Class)",""
"Female","2091"
"Male","2276"
"","4367"
"Secondary Level (Class 9-10)",""
"Female","333"
"Male","378"
"","711"
"SLC and Equivalent",""
"Female","188"
"Male","261"
"","449"
