"Population by disability type","Number"
"Blind/low vision",""
"Female","123"
"Male","157"
"","280"
"Deaf/hard of hearing",""
"Female","53"
"Male","50"
"","103"
"Deaf-Blind",""
"Female","5"
"Male","1"
"","6"
"Intellectual disable",""
"Female","7"
"Male","13"
"","20"
"Mental disable",""
"Female","17"
"Male","25"
"","42"
"Multiple disable",""
"Female","33"
"Male","44"
"","77"
"No disability",""
"Female","32968"
"Male","33595"
"","66563"
"Physical",""
"Female","134"
"Male","150"
"","284"
"Speech problem",""
"Female","16"
"Male","29"
"","45"
