"Population by disability type","Number"
"Blind/low vision",""
"Female","65"
"Male","76"
"","141"
"Deaf/hard of hearing",""
"Female","110"
"Male","124"
"","234"
"Deaf-Blind",""
"Female","13"
"Male","9"
"","22"
"Intellectual disable",""
"Female","3"
"Male","11"
"","14"
"Mental disable",""
"Female","25"
"Male","14"
"","39"
"Multiple disable",""
"Female","17"
"Male","26"
"","43"
"No disability",""
"Female","9775"
"Male","9215"
"","18990"
"Physical",""
"Female","176"
"Male","226"
"","402"
"Speech problem",""
"Female","36"
"Male","45"
"","81"
