"Population by Educational Attainment","Number"
"Beginners",""
"Female","386"
"Male","437"
"Graduate and Equivalent",""
"Female","58"
"Male","109"
"Intermediate and Equivalent",""
"Female","256"
"Male","292"
"Level not Stated",""
"Female","11"
"Male","16"
"Lower Secondary (Class 6-8)",""
"Female","1226"
"Male","1392"
"Non Formal Education",""
"Female","219"
"Male","231"
"Others",""
"Female","4"
"Male","10"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","49"
"Primary Education (1-5 Class)",""
"Female","3499"
"Male","4066"
"Secondary Level (Class 9-10)",""
"Female","562"
"Male","638"
"SLC and Equivalent",""
"Female","475"
"Male","610"
