"Population by Educational Attainment","Number"
"Beginners",""
"Female","135"
"Male","164"
"Graduate and Equivalent",""
"Female","15"
"Male","65"
"Intermediate and Equivalent",""
"Female","194"
"Male","243"
"Level not Stated",""
"Female","23"
"Male","16"
"Lower Secondary (Class 6-8)",""
"Female","1563"
"Male","1578"
"Non Formal Education",""
"Female","591"
"Male","673"
"Others",""
"Female","5"
"Male","3"
"Post Graduate Equivalent and Above",""
"Female","4"
"Male","21"
"Primary Education (1-5 Class)",""
"Female","2750"
"Male","3210"
"Secondary Level (Class 9-10)",""
"Female","834"
"Male","830"
"SLC and Equivalent",""
"Female","450"
"Male","527"
