"Population by disability type","Number"
"Blind/low vision",""
"Female","55"
"Male","49"
"","104"
"Deaf/hard of hearing",""
"Female","23"
"Male","19"
"","42"
"Deaf-Blind",""
"Female","5"
"Male","7"
"","12"
"Intellectual disable",""
"Female","10"
"Male","18"
"","28"
"Mental disable",""
"Female","22"
"Male","22"
"","44"
"Multiple disable",""
"Female","72"
"Male","84"
"","156"
"No disability",""
"Female","16563"
"Male","16401"
"","32964"
"Physical",""
"Female","53"
"Male","101"
"","154"
"Speech problem",""
"Female","19"
"Male","33"
"","52"
