"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","28"
"","67"
"Deaf/hard of hearing",""
"Female","18"
"Male","27"
"","45"
"Deaf-Blind",""
"Female","1"
"Male","1"
"","2"
"Intellectual disable",""
"Female","2"
"Male","9"
"","11"
"Mental disable",""
"Female","7"
"Male","3"
"","10"
"Multiple disable",""
"Female","20"
"Male","14"
"","34"
"No disability",""
"Female","6636"
"Male","6608"
"","13244"
"Physical",""
"Female","38"
"Male","83"
"","121"
"Speech problem",""
"Female","21"
"Male","17"
"","38"
