"Population by Educational Attainment","Number"
"Beginners",""
"Female","90"
"Male","100"
"","190"
"Graduate and Equivalent",""
"Female","8"
"Male","32"
"","40"
"Intermediate and Equivalent",""
"Female","36"
"Male","102"
"","138"
"Level not Stated",""
"Female","11"
"Male","11"
"","22"
"Lower Secondary (Class 6-8)",""
"Female","609"
"Male","779"
"","1388"
"Non Formal Education",""
"Female","175"
"Male","311"
"","486"
"Others",""
"Female","1"
"Male","6"
"","7"
"Post Graduate Equivalent and Above",""
"Female","1"
"Male","11"
"","12"
"Primary Education (1-5 Class)",""
"Female","1898"
"Male","2392"
"","4290"
"Secondary Level (Class 9-10)",""
"Female","189"
"Male","259"
"","448"
"SLC and Equivalent",""
"Female","152"
"Male","258"
"","410"
