"Population by disability type","Number"
"Blind/low vision",""
"Female","25"
"Male","25"
"","50"
"Deaf/hard of hearing",""
"Female","21"
"Male","25"
"","46"
"Deaf-Blind",""
"Female","4"
"Male","2"
"","6"
"Intellectual disable",""
"Female","6"
"Male","2"
"","8"
"Mental disable",""
"Female","10"
"Male","13"
"","23"
"Multiple disable",""
"Female","14"
"Male","21"
"","35"
"No disability",""
"Female","9192"
"Male","7684"
"","16876"
"Physical",""
"Female","66"
"Male","74"
"","140"
"Speech problem",""
"Female","25"
"Male","37"
"","62"
