"Population by Educational Attainment","Number"
"Beginners",""
"Female","330"
"Male","313"
"","643"
"Graduate and Equivalent",""
"Female","4"
"Male","45"
"","49"
"Intermediate and Equivalent",""
"Female","30"
"Male","171"
"","201"
"Level not Stated",""
"Female","1"
"Male","1"
"","2"
"Lower Secondary (Class 6-8)",""
"Female","340"
"Male","794"
"","1134"
"Non Formal Education",""
"Female","118"
"Male","84"
"","202"
"Others",""
"Female","0"
"Male","0"
"","0"
"Post Graduate Equivalent and Above",""
"Female","0"
"Male","9"
"","9"
"Primary Education (1-5 Class)",""
"Female","1201"
"Male","1724"
"","2925"
"Secondary Level (Class 9-10)",""
"Female","109"
"Male","321"
"","430"
"SLC and Equivalent",""
"Female","116"
"Male","387"
"","503"
