"Population by disability type","Number"
"Blind/low vision",""
"Female","8588"
"Male","8379"
"Deaf/hard of hearing",""
"Female","6559"
"Male","6780"
"Deaf-Blind",""
"Female","932"
"Male","881"
"Intellectual disable",""
"Female","1332"
"Male","1647"
"Mental disable",""
"Female","2613"
"Male","2807"
"Multiple disable",""
"Female","2966"
"Male","3363"
"No disability",""
"Female","2720411"
"Male","2624865"
"Physical",""
"Female","13132"
"Male","17975"
"Speech problem",""
"Female","4691"
"Male","5897"
