"Population by Educational Attainment","Number"
"Beginners",""
"Female","290"
"Male","336"
"","626"
"Graduate and Equivalent",""
"Female","32"
"Male","92"
"","124"
"Intermediate and Equivalent",""
"Female","187"
"Male","200"
"","387"
"Level not Stated",""
"Female","2"
"Male","8"
"","10"
"Lower Secondary (Class 6-8)",""
"Female","1547"
"Male","1595"
"","3142"
"Non Formal Education",""
"Female","233"
"Male","208"
"","441"
"Others",""
"Female","1"
"Male","2"
"","3"
"Post Graduate Equivalent and Above",""
"Female","5"
"Male","13"
"","18"
"Primary Education (1-5 Class)",""
"Female","3374"
"Male","4378"
"","7752"
"Secondary Level (Class 9-10)",""
"Female","633"
"Male","529"
"","1162"
"SLC and Equivalent",""
"Female","381"
"Male","459"
"","840"
