"Population by disability type","Number"
"Blind/low vision",""
"Female","28"
"Male","37"
"","65"
"Deaf/hard of hearing",""
"Female","38"
"Male","35"
"","73"
"Deaf-Blind",""
"Female","3"
"Male","1"
"","4"
"Intellectual disable",""
"Female","11"
"Male","21"
"","32"
"Mental disable",""
"Female","14"
"Male","18"
"","32"
"Multiple disable",""
"Female","15"
"Male","15"
"","30"
"No disability",""
"Female","11956"
"Male","10919"
"","22875"
"Physical",""
"Female","66"
"Male","113"
"","179"
"Speech problem",""
"Female","30"
"Male","24"
"","54"
