"Population by disability type","Number"
"Blind/low vision",""
"Female","71"
"Male","93"
"","164"
"Deaf/hard of hearing",""
"Female","91"
"Male","86"
"","177"
"Deaf-Blind",""
"Female","7"
"Male","10"
"","17"
"Intellectual disable",""
"Female","8"
"Male","20"
"","28"
"Mental disable",""
"Female","23"
"Male","25"
"","48"
"Multiple disable",""
"Female","40"
"Male","50"
"","90"
"No disability",""
"Female","21199"
"Male","19958"
"","41157"
"Physical",""
"Female","129"
"Male","193"
"","322"
"Speech problem",""
"Female","67"
"Male","63"
"","130"
