"Population by disability type","Number"
"Blind/low vision",""
"Female","4191"
"Male","4022"
"","8213"
"Deaf/hard of hearing",""
"Female","4971"
"Male","4928"
"","9899"
"Deaf-Blind",""
"Female","430"
"Male","429"
"","859"
"Intellectual disable",""
"Female","829"
"Male","1008"
"","1837"
"Mental disable",""
"Female","1744"
"Male","1865"
"","3609"
"Multiple disable",""
"Female","2181"
"Male","2397"
"","4578"
"No disability",""
"Female","1282574"
"Male","1040259"
"","2322833"
"Physical",""
"Female","7588"
"Male","10681"
"","18269"
"Speech problem",""
"Female","3371"
"Male","3886"
"","7257"
