"Population by Educational Attainment","Number"
"Beginners",""
"Female","256"
"Male","289"
"Graduate and Equivalent",""
"Female","52"
"Male","207"
"Intermediate and Equivalent",""
"Female","144"
"Male","459"
"Level not Stated",""
"Female","47"
"Male","68"
"Lower Secondary (Class 6-8)",""
"Female","1243"
"Male","3210"
"Non Formal Education",""
"Female","191"
"Male","229"
"Others",""
"Female","36"
"Male","53"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","48"
"Primary Education (1-5 Class)",""
"Female","4321"
"Male","5832"
"Secondary Level (Class 9-10)",""
"Female","438"
"Male","1706"
"SLC and Equivalent",""
"Female","84"
"Male","361"
