"Population by Educational Attainment","Number"
"Beginners",""
"Female","94"
"Male","85"
"Graduate and Equivalent",""
"Female","31"
"Male","67"
"Intermediate and Equivalent",""
"Female","202"
"Male","210"
"Level not Stated",""
"Female","37"
"Male","40"
"Lower Secondary (Class 6-8)",""
"Female","1127"
"Male","1175"
"Non Formal Education",""
"Female","329"
"Male","303"
"Others",""
"Female","3"
"Male","4"
"Post Graduate Equivalent and Above",""
"Female","7"
"Male","23"
"Primary Education (1-5 Class)",""
"Female","2065"
"Male","2429"
"Secondary Level (Class 9-10)",""
"Female","550"
"Male","629"
"SLC and Equivalent",""
"Female","381"
"Male","567"
