"Population by Mother tongue","Number"
"Bantawa",""
"Female","11"
"Male","17"
"Chamling",""
"Female","302"
"Male","242"
"Dumi",""
"Female","30"
"Male","19"
"Gurung",""
"Female","119"
"Male","105"
"Jero/Jerung",""
"Female","54"
"Male","57"
"Khaling",""
"Female","249"
"Male","214"
"Kulung",""
"Female","129"
"Male","113"
"Limbu",""
"Female","1376"
"Male","1241"
"Magar",""
"Female","258"
"Male","222"
"Maithili",""
"Female","19"
"Male","39"
"Nachhiring",""
"Female","8"
"Male","7"
"Nepali",""
"Female","7109"
"Male","6102"
"Newar",""
"Female","419"
"Male","345"
"Not Reported",""
"Female","47"
"Male","41"
"Others",""
"Female","34"
"Male","35"
"Puma",""
"Female","19"
"Male","19"
"Rai",""
"Female","253"
"Male","191"
"Rajsthani",""
"Female","19"
"Male","16"
"Sampang",""
"Female","8"
"Male","4"
"Sherpa",""
"Female","1503"
"Male","1333"
"Tamang",""
"Female","2000"
"Male","1701"
"Tharu",""
"Female","3"
"Male","10"
"Thulung",""
"Female","182"
"Male","187"
"Yakkha",""
"Female","487"
"Male","410"
