"Population by Single Year of Age","Number"
"0",""
"Female","214"
"Male","191"
"1",""
"Female","178"
"Male","173"
"10",""
"Female","324"
"Male","349"
"11",""
"Female","328"
"Male","286"
"12",""
"Female","394"
"Male","383"
"13",""
"Female","398"
"Male","341"
"14",""
"Female","361"
"Male","362"
"15",""
"Female","357"
"Male","323"
"16",""
"Female","347"
"Male","340"
"17",""
"Female","326"
"Male","304"
"18",""
"Female","317"
"Male","305"
"19",""
"Female","188"
"Male","170"
"2",""
"Female","216"
"Male","247"
"20",""
"Female","280"
"Male","171"
"21",""
"Female","219"
"Male","145"
"22",""
"Female","253"
"Male","136"
"23",""
"Female","226"
"Male","130"
"24",""
"Female","194"
"Male","109"
"25",""
"Female","260"
"Male","139"
"26",""
"Female","212"
"Male","114"
"27",""
"Female","194"
"Male","99"
"28",""
"Female","202"
"Male","140"
"29",""
"Female","131"
"Male","81"
"3",""
"Female","248"
"Male","211"
"30",""
"Female","229"
"Male","133"
"31",""
"Female","132"
"Male","95"
"32",""
"Female","168"
"Male","112"
"33",""
"Female","145"
"Male","75"
"34",""
"Female","139"
"Male","89"
"35",""
"Female","222"
"Male","122"
"36",""
"Female","133"
"Male","105"
"37",""
"Female","141"
"Male","90"
"38",""
"Female","171"
"Male","105"
"39",""
"Female","109"
"Male","79"
"4",""
"Female","254"
"Male","254"
"40",""
"Female","232"
"Male","159"
"41",""
"Female","125"
"Male","80"
"42",""
"Female","157"
"Male","128"
"43",""
"Female","160"
"Male","116"
"44",""
"Female","115"
"Male","83"
"45",""
"Female","156"
"Male","123"
"46",""
"Female","133"
"Male","103"
"47",""
"Female","104"
"Male","101"
"48",""
"Female","146"
"Male","113"
"49",""
"Female","116"
"Male","93"
"5",""
"Female","288"
"Male","291"
"50",""
"Female","164"
"Male","134"
"51",""
"Female","116"
"Male","108"
"52",""
"Female","136"
"Male","135"
"53",""
"Female","101"
"Male","106"
"54",""
"Female","102"
"Male","81"
"55",""
"Female","106"
"Male","108"
"56",""
"Female","87"
"Male","108"
"57",""
"Female","71"
"Male","72"
"58",""
"Female","88"
"Male","84"
"59",""
"Female","74"
"Male","63"
"6",""
"Female","255"
"Male","280"
"60",""
"Female","125"
"Male","125"
"61",""
"Female","62"
"Male","73"
"62",""
"Female","82"
"Male","92"
"63",""
"Female","59"
"Male","72"
"64",""
"Female","70"
"Male","66"
"65",""
"Female","88"
"Male","82"
"66",""
"Female","42"
"Male","47"
"67",""
"Female","67"
"Male","70"
"68",""
"Female","66"
"Male","76"
"69",""
"Female","38"
"Male","59"
"7",""
"Female","309"
"Male","309"
"70",""
"Female","69"
"Male","55"
"71",""
"Female","32"
"Male","44"
"72",""
"Female","43"
"Male","37"
"73",""
"Female","37"
"Male","57"
"74",""
"Female","36"
"Male","42"
"75",""
"Female","40"
"Male","56"
"76",""
"Female","26"
"Male","27"
"77",""
"Female","26"
"Male","19"
"78",""
"Female","40"
"Male","26"
"79",""
"Female","9"
"Male","20"
"8",""
"Female","304"
"Male","297"
"80",""
"Female","23"
"Male","30"
"81",""
"Female","11"
"Male","20"
"82",""
"Female","16"
"Male","16"
"83",""
"Female","12"
"Male","14"
"84",""
"Female","12"
"Male","17"
"85",""
"Female","46"
"Male","35"
"9",""
"Female","281"
"Male","283"
