"Population by disability type","Number"
"Blind/low vision",""
"Female","22"
"Male","28"
"","50"
"Deaf/hard of hearing",""
"Female","14"
"Male","18"
"","32"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","4"
"Male","5"
"","9"
"Mental disable",""
"Female","2"
"Male","12"
"","14"
"Multiple disable",""
"Female","2"
"Male","5"
"","7"
"No disability",""
"Female","10716"
"Male","11737"
"","22453"
"Physical",""
"Female","33"
"Male","60"
"","93"
"Speech problem",""
"Female","13"
"Male","25"
"","38"
