"Population by disability type","Number"
"Blind/low vision",""
"Female","62"
"Male","45"
"","107"
"Deaf/hard of hearing",""
"Female","81"
"Male","80"
"","161"
"Deaf-Blind",""
"Female","3"
"Male","5"
"","8"
"Intellectual disable",""
"Female","12"
"Male","12"
"","24"
"Mental disable",""
"Female","28"
"Male","19"
"","47"
"Multiple disable",""
"Female","41"
"Male","37"
"","78"
"No disability",""
"Female","14737"
"Male","11417"
"","26154"
"Physical",""
"Female","95"
"Male","107"
"","202"
"Speech problem",""
"Female","36"
"Male","47"
"","83"
