"Population by disability type","Number"
"Blind/low vision",""
"Female","486"
"Male","472"
"","958"
"Deaf/hard of hearing",""
"Female","438"
"Male","486"
"","924"
"Deaf-Blind",""
"Female","31"
"Male","44"
"","75"
"Intellectual disable",""
"Female","41"
"Male","45"
"","86"
"Mental disable",""
"Female","87"
"Male","93"
"","180"
"Multiple disable",""
"Female","89"
"Male","136"
"","225"
"No disability",""
"Female","65759"
"Male","65566"
"","131325"
"Physical",""
"Female","1017"
"Male","1410"
"","2427"
"Speech problem",""
"Female","150"
"Male","237"
"","387"
