"Population by disability type","Number"
"Blind/low vision",""
"Female","11"
"Male","17"
"","28"
"Deaf/hard of hearing",""
"Female","15"
"Male","14"
"","29"
"Deaf-Blind",""
"Female","2"
"Male","4"
"","6"
"Intellectual disable",""
"Female","6"
"Male","4"
"","10"
"Mental disable",""
"Female","7"
"Male","13"
"","20"
"Multiple disable",""
"Female","10"
"Male","8"
"","18"
"No disability",""
"Female","10295"
"Male","11005"
"","21300"
"Physical",""
"Female","23"
"Male","62"
"","85"
"Speech problem",""
"Female","12"
"Male","22"
"","34"
