"Population by disability type","Number"
"Blind/low vision",""
"Female","17"
"Male","18"
"","35"
"Deaf/hard of hearing",""
"Female","6"
"Male","9"
"","15"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","3"
"Male","5"
"","8"
"Mental disable",""
"Female","6"
"Male","12"
"","18"
"Multiple disable",""
"Female","4"
"Male","6"
"","10"
"No disability",""
"Female","12418"
"Male","13060"
"","25478"
"Physical",""
"Female","24"
"Male","41"
"","65"
"Speech problem",""
"Female","9"
"Male","14"
"","23"
