"Population by disability type","Number"
"Blind/low vision",""
"Female","10"
"Male","23"
"","33"
"Deaf/hard of hearing",""
"Female","2"
"Male","2"
"","4"
"Deaf-Blind",""
"Female","1"
"Male","2"
"","3"
"Intellectual disable",""
"Female","0"
"Male","6"
"","6"
"Mental disable",""
"Female","4"
"Male","12"
"","16"
"Multiple disable",""
"Female","5"
"Male","2"
"","7"
"No disability",""
"Female","12140"
"Male","12790"
"","24930"
"Physical",""
"Female","12"
"Male","22"
"","34"
"Speech problem",""
"Female","3"
"Male","13"
"","16"
