"Population by Caste/Ethinicity","Number"
"Amat",""
"Female","133"
"Male","129"
"Badhaee",""
"Female","79"
"Male","60"
"Bangali",""
"Female","10"
"Male","11"
"Bantar/Sardar",""
"Female","358"
"Male","342"
"Baraee",""
"Female","143"
"Male","150"
"Brahman - Hill",""
"Female","201"
"Male","172"
"Brahman - Tarai",""
"Female","428"
"Male","464"
"Chamar/ Harijan/ Ram",""
"Female","776"
"Male","752"
"Chhetri",""
"Female","48"
"Male","45"
"Dalit Others",""
"Female","16"
"Male","12"
"Damai/Dholi",""
"Female","25"
"Male","24"
"Dhanuk",""
"Female","2181"
"Male","1964"
"Dhobi",""
"Female","607"
"Male","583"
"Dom",""
"Female","81"
"Male","90"
"Dusadh/ Pasawan/ Pasi",""
"Female","503"
"Male","481"
"Hajam/Thakur",""
"Female","222"
"Male","228"
"Halkhor",""
"Female","22"
"Male","19"
"Halwai",""
"Female","568"
"Male","618"
"Kalar",""
"Female","64"
"Male","62"
"Kalwar",""
"Female","17"
"Male","12"
"Kamar",""
"Female","6"
"Male","7"
"Kami",""
"Female","68"
"Male","54"
"Kathabaniyan",""
"Female","576"
"Male","629"
"Kayastha",""
"Female","49"
"Male","45"
"Kewat",""
"Female","165"
"Male","159"
"Khatwe",""
"Female","793"
"Male","729"
"Koiri/Kushwaha",""
"Female","418"
"Male","452"
"Kumal",""
"Female","25"
"Male","18"
"Kumhar",""
"Female","339"
"Male","340"
"Kurmi",""
"Female","5"
"Male","6"
"Limbu",""
"Female","21"
"Male","15"
"Lohar",""
"Female","15"
"Male","19"
"Magar",""
"Female","17"
"Male","18"
"Majhi",""
"Female","23"
"Male","25"
"Mali",""
"Female","7"
"Male","7"
"Mallaha",""
"Female","1522"
"Male","1570"
"Marwadi",""
"Female","65"
"Male","80"
"Musahar",""
"Female","1508"
"Male","1580"
"Musalman",""
"Female","1635"
"Male","1438"
"Newar",""
"Female","129"
"Male","102"
"Others",""
"Female","46"
"Male","32"
"Punjabi/Sikh",""
"Female","9"
"Male","12"
"Rai",""
"Female","33"
"Male","37"
"Rajbhar",""
"Female","112"
"Male","118"
"Rajdhob",""
"Female","1825"
"Male","1788"
"Rajput",""
"Female","13"
"Male","11"
"Sanyasi/Dasnami",""
"Female","20"
"Male","27"
"Sonar",""
"Female","85"
"Male","79"
"Sudhi",""
"Female","72"
"Male","69"
"Sunuwar",""
"Female","101"
"Male","122"
"Tamang",""
"Female","8"
"Male","8"
"Tatma/Tatwa",""
"Female","287"
"Male","297"
"Teli",""
"Female","782"
"Male","785"
"Terai Others",""
"Female","1167"
"Male","1147"
"Thakuri",""
"Female","9"
"Male","7"
"Tharu",""
"Female","53"
"Male","53"
"Undefined Others",""
"Female","21"
"Male","20"
"Yadav",""
"Female","4498"
"Male","4602"
