"Population by Educational Attainment","Number"
"Beginners",""
"Female","244"
"Male","290"
"","534"
"Graduate and Equivalent",""
"Female","34"
"Male","63"
"","97"
"Intermediate and Equivalent",""
"Female","151"
"Male","140"
"","291"
"Level not Stated",""
"Female","17"
"Male","12"
"","29"
"Lower Secondary (Class 6-8)",""
"Female","1155"
"Male","1124"
"","2279"
"Non Formal Education",""
"Female","553"
"Male","180"
"","733"
"Others",""
"Female","1"
"Male","1"
"","2"
"Post Graduate Equivalent and Above",""
"Female","14"
"Male","15"
"","29"
"Primary Education (1-5 Class)",""
"Female","2342"
"Male","2366"
"","4708"
"Secondary Level (Class 9-10)",""
"Female","531"
"Male","491"
"","1022"
"SLC and Equivalent",""
"Female","421"
"Male","422"
"","843"
