"Population by Educational Attainment","Number"
"Beginners",""
"Female","165"
"Male","190"
"Graduate and Equivalent",""
"Female","4"
"Male","22"
"Intermediate and Equivalent",""
"Female","55"
"Male","89"
"Level not Stated",""
"Female","5"
"Male","3"
"Lower Secondary (Class 6-8)",""
"Female","521"
"Male","614"
"Non Formal Education",""
"Female","115"
"Male","112"
"Others",""
"Female","2"
"Male","0"
"Post Graduate Equivalent and Above",""
"Female","2"
"Male","3"
"Primary Education (1-5 Class)",""
"Female","1250"
"Male","1547"
"Secondary Level (Class 9-10)",""
"Female","204"
"Male","234"
"SLC and Equivalent",""
"Female","129"
"Male","170"
