"Population by disability type","Number"
"Blind/low vision",""
"Female","814"
"Male","838"
"","1652"
"Deaf/hard of hearing",""
"Female","416"
"Male","449"
"","865"
"Deaf-Blind",""
"Female","70"
"Male","82"
"","152"
"Intellectual disable",""
"Female","120"
"Male","146"
"","266"
"Mental disable",""
"Female","302"
"Male","459"
"","761"
"Multiple disable",""
"Female","318"
"Male","357"
"","675"
"No disability",""
"Female","372581"
"Male","372691"
"","745272"
"Physical",""
"Female","1215"
"Male","1923"
"","3138"
"Speech problem",""
"Female","376"
"Male","525"
"","901"
