"Population by disability type","Number"
"Blind/low vision",""
"Female","181"
"Male","207"
"","388"
"Deaf/hard of hearing",""
"Female","68"
"Male","97"
"","165"
"Deaf-Blind",""
"Female","11"
"Male","24"
"","35"
"Intellectual disable",""
"Female","24"
"Male","24"
"","48"
"Mental disable",""
"Female","68"
"Male","106"
"","174"
"Multiple disable",""
"Female","53"
"Male","66"
"","119"
"No disability",""
"Female","112961"
"Male","126154"
"","239115"
"Physical",""
"Female","248"
"Male","419"
"","667"
"Speech problem",""
"Female","81"
"Male","130"
"","211"
