"Population by disability type","Number"
"Blind/low vision",""
"Female","39"
"Male","37"
"","76"
"Deaf/hard of hearing",""
"Female","17"
"Male","14"
"","31"
"Deaf-Blind",""
"Female","0"
"Male","1"
"","1"
"Intellectual disable",""
"Female","7"
"Male","13"
"","20"
"Mental disable",""
"Female","12"
"Male","23"
"","35"
"Multiple disable",""
"Female","10"
"Male","15"
"","25"
"No disability",""
"Female","17575"
"Male","17642"
"","35217"
"Physical",""
"Female","52"
"Male","75"
"","127"
"Speech problem",""
"Female","21"
"Male","30"
"","51"
