"Population by disability type","Number"
"Blind/low vision",""
"Female","41"
"Male","55"
"","96"
"Deaf/hard of hearing",""
"Female","28"
"Male","30"
"","58"
"Deaf-Blind",""
"Female","6"
"Male","4"
"","10"
"Intellectual disable",""
"Female","7"
"Male","9"
"","16"
"Mental disable",""
"Female","14"
"Male","13"
"","27"
"Multiple disable",""
"Female","19"
"Male","33"
"","52"
"No disability",""
"Female","18427"
"Male","17570"
"","35997"
"Physical",""
"Female","54"
"Male","85"
"","139"
"Speech problem",""
"Female","29"
"Male","35"
"","64"
