"Population by Educational Attainment","Number"
"Beginners",""
"Female","141"
"Male","166"
"","307"
"Graduate and Equivalent",""
"Female","24"
"Male","156"
"","180"
"Intermediate and Equivalent",""
"Female","142"
"Male","461"
"","603"
"Level not Stated",""
"Female","53"
"Male","44"
"","97"
"Lower Secondary (Class 6-8)",""
"Female","1160"
"Male","1648"
"","2808"
"Non Formal Education",""
"Female","107"
"Male","211"
"","318"
"Others",""
"Female","3"
"Male","9"
"","12"
"Post Graduate Equivalent and Above",""
"Female","6"
"Male","34"
"","40"
"Primary Education (1-5 Class)",""
"Female","3067"
"Male","3819"
"","6886"
"Secondary Level (Class 9-10)",""
"Female","465"
"Male","977"
"","1442"
"SLC and Equivalent",""
"Female","389"
"Male","903"
"","1292"
