"Population by disability type","Number"
"Blind/low vision",""
"Female","78"
"Male","57"
"","135"
"Deaf/hard of hearing",""
"Female","41"
"Male","51"
"","92"
"Deaf-Blind",""
"Female","8"
"Male","12"
"","20"
"Intellectual disable",""
"Female","7"
"Male","11"
"","18"
"Mental disable",""
"Female","21"
"Male","42"
"","63"
"Multiple disable",""
"Female","9"
"Male","11"
"","20"
"No disability",""
"Female","20606"
"Male","18573"
"","39179"
"Physical",""
"Female","117"
"Male","133"
"","250"
"Speech problem",""
"Female","47"
"Male","59"
"","106"
