"Population by disability type","Number"
"Blind/low vision",""
"Female","147"
"Male","128"
"","275"
"Deaf/hard of hearing",""
"Female","248"
"Male","362"
"","610"
"Deaf-Blind",""
"Female","7"
"Male","9"
"","16"
"Intellectual disable",""
"Female","34"
"Male","30"
"","64"
"Mental disable",""
"Female","32"
"Male","17"
"","49"
"Multiple disable",""
"Female","112"
"Male","120"
"","232"
"No disability",""
"Female","23768"
"Male","23774"
"","47542"
"Physical",""
"Female","404"
"Male","501"
"","905"
"Speech problem",""
"Female","104"
"Male","136"
"","240"
