"Population by Mother tongue","Number"
"Bahing",""
"Female","39"
"Male","40"
"Bangla",""
"Female","27"
"Male","30"
"Bantawa",""
"Female","733"
"Male","613"
"Bhojpuri",""
"Female","121"
"Male","111"
"Bhujel",""
"Female","1889"
"Male","1635"
"Chamling",""
"Female","471"
"Male","414"
"Danuwar",""
"Female","30"
"Male","26"
"Dhimal",""
"Female","1624"
"Male","1381"
"Dumi",""
"Female","90"
"Male","79"
"Gurung",""
"Female","717"
"Male","554"
"Hindi",""
"Female","68"
"Male","67"
"Khaling",""
"Female","55"
"Male","40"
"Koyee",""
"Female","29"
"Male","14"
"Kulung",""
"Female","375"
"Male","293"
"Limbu",""
"Female","1389"
"Male","1123"
"Lohorung",""
"Female","74"
"Male","59"
"Magar",""
"Female","718"
"Male","585"
"Maithili",""
"Female","1159"
"Male","1234"
"Majhi",""
"Female","85"
"Male","65"
"Mewahang",""
"Female","30"
"Male","22"
"Nachhiring",""
"Female","53"
"Male","38"
"Nepali",""
"Female","17114"
"Male","14102"
"Newar",""
"Female","603"
"Male","545"
"Not Reported",""
"Female","80"
"Male","63"
"Others",""
"Female","113"
"Male","97"
"Rai",""
"Female","1113"
"Male","895"
"Rajbanshi",""
"Female","1613"
"Male","1399"
"Rajsthani",""
"Female","15"
"Male","13"
"Sam",""
"Female","18"
"Male","10"
"Sampang",""
"Female","228"
"Male","165"
"Santhali",""
"Female","60"
"Male","61"
"Sherpa",""
"Female","55"
"Male","36"
"Sign Language",""
"Female","8"
"Male","10"
"Sunuwar",""
"Female","22"
"Male","24"
"Tamang",""
"Female","1154"
"Male","1041"
"Tharu",""
"Female","3241"
"Male","2746"
"Thulung",""
"Female","133"
"Male","108"
"Uranw/Urau",""
"Female","148"
"Male","124"
"Urdu",""
"Female","68"
"Male","80"
"Wambule",""
"Female","10"
"Male","8"
"Yakkha",""
"Female","162"
"Male","127"
"Yamphu/Yamphe",""
"Female","47"
"Male","34"
