"Population by disability type","Number"
"Blind/low vision",""
"Female","118"
"Male","120"
"","238"
"Deaf/hard of hearing",""
"Female","169"
"Male","175"
"","344"
"Deaf-Blind",""
"Female","8"
"Male","11"
"","19"
"Intellectual disable",""
"Female","45"
"Male","29"
"","74"
"Mental disable",""
"Female","81"
"Male","80"
"","161"
"Multiple disable",""
"Female","103"
"Male","103"
"","206"
"No disability",""
"Female","57773"
"Male","51884"
"","109657"
"Physical",""
"Female","283"
"Male","400"
"","683"
"Speech problem",""
"Female","161"
"Male","194"
"","355"
