"Population by disability type","Number"
"Blind/low vision",""
"Female","68"
"Male","53"
"","121"
"Deaf/hard of hearing",""
"Female","57"
"Male","49"
"","106"
"Deaf-Blind",""
"Female","5"
"Male","10"
"","15"
"Intellectual disable",""
"Female","9"
"Male","11"
"","20"
"Mental disable",""
"Female","29"
"Male","23"
"","52"
"Multiple disable",""
"Female","13"
"Male","23"
"","36"
"No disability",""
"Female","11712"
"Male","8528"
"","20240"
"Physical",""
"Female","132"
"Male","166"
"","298"
"Speech problem",""
"Female","31"
"Male","45"
"","76"
