"Population by Educational Attainment","Number"
"Beginners",""
"Female","397"
"Male","447"
"","844"
"Graduate and Equivalent",""
"Female","22"
"Male","68"
"","90"
"Intermediate and Equivalent",""
"Female","100"
"Male","118"
"","218"
"Level not Stated",""
"Female","5"
"Male","4"
"","9"
"Lower Secondary (Class 6-8)",""
"Female","1423"
"Male","1160"
"","2583"
"Non Formal Education",""
"Female","294"
"Male","234"
"","528"
"Others",""
"Female","2"
"Male","5"
"","7"
"Post Graduate Equivalent and Above",""
"Female","8"
"Male","26"
"","34"
"Primary Education (1-5 Class)",""
"Female","3119"
"Male","2929"
"","6048"
"Secondary Level (Class 9-10)",""
"Female","733"
"Male","524"
"","1257"
"SLC and Equivalent",""
"Female","549"
"Male","391"
"","940"
