"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","69"
"Male","48"
"Brahman - Hill",""
"Female","4792"
"Male","4150"
"Chhantyal/Chhantel",""
"Female","2130"
"Male","1767"
"Chhetri",""
"Female","10685"
"Male","8412"
"Dalit Others",""
"Female","82"
"Male","72"
"Damai/Dholi",""
"Female","3733"
"Male","2787"
"Gaine",""
"Female","4"
"Male","8"
"Gharti/Bhujel",""
"Female","14"
"Male","13"
"Gurung",""
"Female","578"
"Male","487"
"Hajam/Thakur",""
"Female","1"
"Male","12"
"Halwai",""
"Female","14"
"Male","16"
"Kami",""
"Female","9635"
"Male","7669"
"Kisan",""
"Female","358"
"Male","258"
"Koiri/Kushwaha",""
"Female","8"
"Male","25"
"Limbu",""
"Female","7"
"Male","7"
"Magar",""
"Female","24726"
"Male","19710"
"Majhi",""
"Female","4"
"Male","12"
"Musalman",""
"Female","65"
"Male","100"
"Newar",""
"Female","806"
"Male","700"
"Others",""
"Female","151"
"Male","220"
"Pattharkatta/ Kushwadiya",""
"Female","7"
"Male","9"
"Rai",""
"Female","55"
"Male","47"
"Sanyasi/Dasnami",""
"Female","143"
"Male","91"
"Sarki",""
"Female","2028"
"Male","1737"
"Sherpa",""
"Female","11"
"Male","16"
"Tamang",""
"Female","78"
"Male","129"
"Teli",""
"Female","16"
"Male","32"
"Terai Others",""
"Female","21"
"Male","19"
"Thakali",""
"Female","540"
"Male","449"
"Thakuri",""
"Female","1267"
"Male","996"
"Tharu",""
"Female","15"
"Male","36"
